activity	time	p	p_peak	p_smooth
Vehicle touring/racing	1460	2.78E-05	0.069232906	0.067952885
Softball	1460	0	0	0
Playing soccer	1460	0	0	0
Doing aerobics	1460	1.03E-05	0.016785181	0.016785181
Hunting	1460	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1460	0	0	0
Bowling	1460	9.06E-05	0.073527604	0.073584326
Rollerblading	1460	1.28E-05	0.040234706	0.026823137
Golfing	1460	1.68E-05	0.007148072	0.007148072
Playing volleyball	1460	0	0	0
Boating	1460	2.02E-05	0.029966049	0.029966049
Playing baseball	1460	0	0	0
Running	1465	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1465	0	0	0
Weightlifting/strength training	1465	3.25E-05	0.020314704	0.020314704
Hiking	1465	0	0	0
Biking	1465	2.71E-06	0.003269747	0.003269747
Walking	1465	6.20E-05	0.013414883	0.013789357
Using cardiovascular equipment	1465	1.22E-05	0.009145846	0.023652672
Participating in water sports	1465	2.40E-05	0.007492664	0.00684476
Playing basketball	1465	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1465	7.10E-05	0.020435005	0.0225942
"Skiing, ice skating, snowboarding"	1465	0	0	0
Doing yoga	1465	3.76E-06	0.00880149	0.00586766
Playing billiards	1465	3.10E-04	0.377966879	0.377389115
Fishing	1465	1.11E-04	0.066402671	0.066402671
Dancing	1465	5.51E-04	0.73968228	0.742144183
Playing football	1465	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1465	2.62E-05	0.065392844	0.066672865
Softball	1465	0	0	0
Playing soccer	1465	0	0	0
Doing aerobics	1465	1.03E-05	0.016785181	0.016785181
Hunting	1465	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1465	0	0	0
Bowling	1465	8.81E-05	0.071465169	0.072152648
Rollerblading	1465	0	0	0.013411569
Golfing	1465	1.68E-05	0.007148072	0.007148072
Playing volleyball	1465	0	0	0
Boating	1465	2.02E-05	0.029966049	0.029966049
Playing baseball	1465	0	0	0
Running	1470	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1470	0	0	0
Weightlifting/strength training	1470	3.25E-05	0.020314704	0.017192708
Hiking	1470	0	0	0
Biking	1470	2.71E-06	0.003269747	0.003269747
Walking	1470	7.19E-05	0.015540291	0.013709177
Using cardiovascular equipment	1470	3.49E-05	0.0261985	0.017465666
Participating in water sports	1470	2.40E-05	0.007492664	0.006948242
Playing basketball	1470	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1470	9.36E-05	0.026912591	0.026467695
"Skiing, ice skating, snowboarding"	1470	0	0	0
Doing yoga	1470	0	0	0.00293383
Playing billiards	1470	3.08E-04	0.376233588	0.356510558
Fishing	1470	1.11E-04	0.066402671	0.066402671
Dancing	1470	5.50E-04	0.73829714	0.714919462
Playing football	1470	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1470	2.62E-05	0.065392844	0.065392844
Softball	1470	0	0	0
Playing soccer	1470	0	0	0
Doing aerobics	1470	1.03E-05	0.016785181	0.016785181
Hunting	1470	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1470	0	0	0
Bowling	1470	8.81E-05	0.071465169	0.0710139
Rollerblading	1470	0	0	0
Golfing	1470	1.68E-05	0.007148072	0.007148072
Playing volleyball	1470	0	0	0
Boating	1470	2.02E-05	0.029966049	0.029966049
Playing baseball	1470	0	0	0
Running	1475	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1475	0	0	0
Weightlifting/strength training	1475	1.75E-05	0.010948718	0.01192674
Hiking	1475	0	0	0
Biking	1475	2.71E-06	0.003269747	0.003269747
Walking	1475	5.63E-05	0.012172358	0.013295002
Using cardiovascular equipment	1475	2.27E-05	0.017052653	0.020101269
Participating in water sports	1475	1.88E-05	0.005859399	0.006403821
Playing basketball	1475	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1475	1.11E-04	0.032055488	0.030517767
"Skiing, ice skating, snowboarding"	1475	0	0	0
Doing yoga	1475	0	0	0
Playing billiards	1475	2.58E-04	0.315331207	0.337013193
Fishing	1475	1.11E-04	0.066402671	0.066402671
Dancing	1475	4.97E-04	0.666778965	0.693508619
Playing football	1475	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1475	2.62E-05	0.065392844	0.065392844
Softball	1475	0	0	0
Playing soccer	1475	0	0	0
Doing aerobics	1475	1.03E-05	0.016785181	0.011190121
Hunting	1475	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1475	0	0	0
Bowling	1475	8.64E-05	0.070111362	0.070070611
Rollerblading	1475	0	0	0
Golfing	1475	1.68E-05	0.007148072	0.007148072
Playing volleyball	1475	0	0	0
Boating	1475	2.02E-05	0.029966049	0.029966049
Playing baseball	1475	0	0	0
Running	1480	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1480	0	0	0
Weightlifting/strength training	1480	7.23E-06	0.004516798	0.008908903
Hiking	1480	0	0	0
Biking	1480	2.71E-06	0.003269747	0.003269747
Walking	1480	5.63E-05	0.012172358	0.011915267
Using cardiovascular equipment	1480	2.27E-05	0.017052653	0.018309866
Participating in water sports	1480	1.88E-05	0.005859399	0.005859399
Playing basketball	1480	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1480	1.13E-04	0.032585221	0.032408643
"Skiing, ice skating, snowboarding"	1480	0	0	0
Doing yoga	1480	0	0	0
Playing billiards	1480	2.62E-04	0.319474784	0.334388843
Fishing	1480	1.11E-04	0.066402671	0.066402671
Dancing	1480	5.04E-04	0.675449752	0.677867979
Playing football	1480	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1480	2.62E-05	0.065392844	0.065392844
Softball	1480	0	0	0
Playing soccer	1480	0	0	0
Doing aerobics	1480	0	0	0.00559506
Hunting	1480	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1480	0	0	0
Bowling	1480	8.46E-05	0.0686353	0.069127321
Rollerblading	1480	0	0	0
Golfing	1480	1.68E-05	0.007148072	0.007148072
Playing volleyball	1480	0	0	0
Boating	1480	2.02E-05	0.029966049	0.029966049
Playing baseball	1480	0	0	0
Running	1485	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1485	0	0	0
Weightlifting/strength training	1485	1.80E-05	0.011261192	0.009013061
Hiking	1485	0	0	0
Biking	1485	2.71E-06	0.003269747	0.003269747
Walking	1485	5.27E-05	0.011401086	0.011188788
Using cardiovascular equipment	1485	2.78E-05	0.02082429	0.019567078
Participating in water sports	1485	1.88E-05	0.005859399	0.005859399
Playing basketball	1485	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1485	1.13E-04	0.032585221	0.029403782
"Skiing, ice skating, snowboarding"	1485	0	0	0
Doing yoga	1485	0	0	0
Playing billiards	1485	3.02E-04	0.368360539	0.344414932
Fishing	1485	1.11E-04	0.066402671	0.066402671
Dancing	1485	5.15E-04	0.691375218	0.681595811
Playing football	1485	6.62E-06	0.006845926	0.006845926
Vehicle touring/racing	1485	2.62E-05	0.065392844	0.065392844
Softball	1485	0	0	0
Playing soccer	1485	0	0	0
Doing aerobics	1485	0	0	0
Hunting	1485	3.36E-05	0.030898503	0.030898503
Participating in martial arts	1485	0	0	0
Bowling	1485	8.46E-05	0.0686353	0.073329768
Rollerblading	1485	0	0	0
Golfing	1485	1.68E-05	0.007148072	0.007148072
Playing volleyball	1485	0	0	0
Boating	1485	2.02E-05	0.029966049	0.029966049
Playing baseball	1485	0	0	0
Running	1490	6.45E-05	0.044022621	0.044022621
Playing racquet sports	1490	0	0	0
Weightlifting/strength training	1490	1.80E-05	0.011261192	0.010879172
Hiking	1490	0	0	0
Biking	1490	2.71E-06	0.003269747	0.003269747
Walking	1490	4.62E-05	0.00999292	0.010386057
Using cardiovascular equipment	1490	2.78E-05	0.02082429	0.02082429
Participating in water sports	1490	1.88E-05	0.005859399	0.005859399
Playing basketball	1490	1.90E-05	0.009114714	0.009114714
"Working out, unspecified"	1490	8.01E-05	0.023040903	0.026222342
"Skiing, ice skating, snowboarding"	1490	0	0	0
Doing yoga	1490	0	0	0
Playing billiards	1490	2.83E-04	0.345409473	0.34348329
Fishing	1490	1.11E-04	0.066402671	0.066402671
Dancing	1490	5.05E-04	0.677962462	0.68243338
Playing football	1490	6.62E-06	0.006845926	0.006845926
